2022-04-13,Fumiko Reid,3517
2022-02-11,Latrisha Barker,3846
2022-11-24,Raylene Washington,1889
2022-04-26,Taisha Walters,2393
2022-04-10,Michal Frank,1405
2022-01-19,Renato Ortiz,3531
2022-02-05,Minh Potter,2500
2022-10-12,Dewitt Garrett,3044
2022-01-09,Tomi Stevenson,3840
2022-04-04,Otha Harvey,3885
2022-12-16,Tobias Lewis,1258
2022-02-24,Sherwood Stevenson,1169
2022-07-03,Rueben Johnston,1077
2022-07-09,Jude Craig,1438
2022-10-22,Arden Medina,2175
2022-07-05,Demetrice Holmes,1785
2022-06-18,Cordie Bishop,2777
2022-02-06,Johnson Jimenez,1666
2022-02-10,Delena Powell,1656
2022-02-15,Lala Freeman,1430
2022-10-11,Latina Joseph,1190
2022-07-23,Shaunna Robinson,2913
2022-12-22,Karine Mcgee,3076
2022-12-14,Hassan Kelly,1852
2022-03-30,Ike Martin,2355
2022-05-02,Brant Perkins,1522
2022-08-14,Elisha Wood,2599
2022-02-12,Mica Butler,1739
2022-03-28,Aliza King,3445
2022-01-13,Librada Coleman,1040
2022-04-30,Emmitt Fleming,3870
2022-05-22,Verlene Peters,1937
2022-05-01,Chi Tucker,2762
2022-06-04,Richie Salazar,2913
2022-03-12,Erminia Lopez,3000
2022-11-30,Theo Sims,2381
2022-04-10,Hyman Jacobs,3818
2021-12-30,Becki Gray,3362
2022-09-01,Isreal Simon,1156
2022-06-12,Usha Parks,3809
2022-09-14,Elisha Ryan,3109
2022-07-19,Leonore Jensen,3719
2022-11-23,Mitchell Simpson,3592
2022-11-01,Emerita Henderson,2829
2022-08-03,Joannie Johnson,3375
2022-11-23,Fumiko Schwartz,1604
2022-07-01,Edward Watson,2768
2022-04-24,Rayford Foster,2864
2022-01-02,Arianne Hampton,3664
2022-04-19,Broderick Bradley,1171
2022-07-12,Wilton Townsend,2558
2022-04-08,Darell Padilla,2788
2022-03-03,Jene Barker,1301
2022-10-30,Wen Ross,1503
2022-05-16,Coralee Crawford,2426
2022-12-02,Fausto Rose,2862
2022-07-09,Maia Porter,2547
2022-05-08,Isis Weaver,3680
2022-01-19,Lynell Wallace,3188
2022-04-03,Mikel Salazar,2286
2022-10-18,Sharri Jackson,3325
2022-06-10,Jae Silva,3292
2022-09-21,Lyndon Gross,2590
2022-03-20,Sal Farmer,2377
2022-01-06,Leandro Johnson,3632
2022-11-09,Blossom Obrien,2283
2022-07-26,Evelin Hampton,1249
2022-05-09,Dannie Hawkins,2549
2022-08-10,Claud Reed,2616
2022-05-19,Alline Elliott,1403
2022-05-09,Kandis Watson,3928
2022-07-10,Jonah Robbins,1848
2022-07-05,Katia Martinez,3856
2022-12-15,Man Fletcher,2166
2022-03-23,Irish Doyle,1027
2022-08-10,Jed Greer,2149
2022-07-16,Lynwood Mann,1099
2022-05-15,Kraig Swanson,2997
2022-11-11,Kristofer Graves,1060
2022-06-15,Buck Cruz,1224
2022-10-27,Shaunna Greer,2904
2022-02-11,Jacinda Fowler,2606
2022-03-23,Elvina Curtis,3804
2022-08-24,Tory Brady,3781
2022-08-28,Jannet Dunn,1144
2022-08-08,Exie Ramos,3308
2022-11-12,Roseline Mills,1469
2022-04-26,Laquanda Evans,1183
2022-02-12,Man Willis,2064
2022-11-26,Adalberto Chavez,1656
2022-10-08,Demetrius Turner,1921
2022-06-21,Zackary Harrison,3161
2022-08-21,Melvin Saunders,2921
2022-01-26,Isaias Gonzales,3044
2022-06-27,Bo Owen,1572
2022-02-22,Justin Chavez,3653
2022-10-11,Emerald Osborne,2754
2022-02-19,Eusebio Roy,1505
2022-02-27,Rosario Mills,2642
2022-05-02,Hassan Bryant,3700
2022-07-10,Raguel Garner,3552
2022-12-08,Inocencia Sullivan,2154
2022-10-12,Lauryn Luca,1583
2022-09-14,Hilaria Bennett,3872
2022-06-20,Juliane Bates,3356
2022-12-25,Long Mccormick,3532
2022-01-09,Jefferey Jenkins,3756
2022-11-02,Almeta Owen,1489
2022-09-05,Theola Herrera,1952
2022-07-24,Manual Salazar,2846
