Whitney Duncan,2265,899
Ebonie Hudson,2509,762
Luise Warren,1995,657
Kenton Floyd,2271,829
Kasie Douglas,2507,254
Elden Ward,1486,369
Hyacinth Kelly,1355,660
Alishia Stevenson,3173,368
Amado Castillo,1465,242
Daniell Mills,3043,44
King Price,1579,607
Luise Chapman,2149,705
Hobert Grant,2858,777
Michal Steele,1500,519
Elenore Watts,2123,670
Cristobal Montgomery,1378,630
Towanda Stevens,3122,358
Hildred Sanders,3589,193
Cordie Terry,3967,49
Eugene Farmer,1966,529
Raymon Chavez,1414,39
Gino Reid,3384,732
Aracelis Price,2245,144
Carola Phillips,1253,221
Samira Diaz,2479,577
Karl Munoz,3963,128
Brinda Taylor,2229,821
Lexie Chambers,2071,28
Jacinto Bush,1126,144
Antione Frazier,3589,552
Rozella Martin,3556,847
Enoch Chambers,1047,20
Renato May,2544,289
Reyes Mccoy,1942,658
Leonore Foster,2983,828
Cordie Alexander,2324,955
Kelle Moss,3182,785
Branda Valdez,2295,978
Janise Briggs,2874,497
China Cook,1414,858
Lauren Newton,3867,187
Loris Osborne,1282,546
Lasandra Lawson,3412,75
Florentino Newton,3783,21
Paris Bell,2616,673
Garret Martin,2314,997
Mika Leonard,1321,52
Columbus Vaughn,3434,502
Shery Ruiz,2144,11
Tequila Lawrence,1403,206
Chet Wilson,3858,946
Britt Cole,3529,360
Kiersten Mccoy,3228,319
Norah Norris,2907,661
Wei Copeland,1526,573
Shemeka Banks,2662,547
Tamesha Clark,2452,565
Dannie Curry,2213,504
Rochell Barnes,2814,915
Trang Steele,1511,765
Gaylord Brewer,2695,119
Rolf Baker,2222,360
Rashad Becker,2190,143
Hildred Buchanan,2970,667
King Hubbard,1039,608
Noble Lawson,1566,538
Leisha Stanley,3477,262
Jordon Taylor,2989,275
Reiko Tucker,3982,857
Karleen Powers,1928,891
Maria Hines,3835,316
Alishia Mendez,1754,686
Clorinda Myers,2243,460
Tamesha Watkins,1888,457
Gertude Armstrong,1374,374
Tobias Pope,2752,248
Sebrina Harvey,2697,494
Zack Ortega,2952,309
Bertram Patterson,1204,849
Lauryn Miller,2023,175
Mirtha Day,3133,969
Melissia Fuller,1569,323
Giuseppe Miller,2747,997
Elisha Bishop,2613,712
Michal Copeland,2185,721
Mendy Mcgee,3466,457
Kory Roberts,1317,936
Wen Garcia,2368,808
Francoise Blair,2587,322
Jacquiline Mills,2162,281
Jc Maxwell,1523,98
Raymond Lewis,2426,450
Erminia Hubbard,1527,935
Liberty Jackson,3065,848
Yuk Rhodes,2339,518
Gwyn Mcbride,3310,943
Ermelinda Phillips,2800,626
Katrice Frank,3792,521
Tran Webb,2918,926
Mitzie Sharp,1146,963
Garfield Day,2215,982
Aundrea Pope,3142,781
Maria Payne,3812,456
Moshe Jennings,3622,271
Jordon Jenkins,2341,515
Brynn Riley,2133,374
Bell Hale,1958,122
Cristen Simon,2083,382
Lynetta Keller,2533,869
Roseline Coleman,2557,314
Jeramy Cross,3732,176
Elisha Stone,2555,201
Rosario Williams,2541,816
Raguel Miles,3337,58
Felton Harrison,3554,326
Glennie Chandler,3525,47
Erinn Chandler,1242,455
Patria Perez,2467,804
Coralee Carter,1735,504
Rey Thornton,1344,62
Margert Townsend,2951,856
Liberty Willis,2665,806
Domonique Kennedy,2886,103
Raguel Nguyen,1004,173
Minh Brown,1753,46
Cristen Clark,1499,37
Shenita Harmon,3229,755
Chau Tate,2906,949
Francie Welch,3440,809
Roseline Mann,2310,606
Erline Medina,2881,335
Jonah Cannon,2550,718
Rudy Guzman,1219,565
Huey Armstrong,2590,787
Lawerence Allen,1493,292
